id,weekStart,monthKey,city,brand,domain,source,leads,qualified,sales,revenue,budget,roas,cpl,cpql,saleCost,avgCheck
brandperf-2026-04-01-мск-autonefrit-яндекс-карты,2026-04-01,2026-04,МСК,Autonefrit,autonefrit.ru,Яндекс Карты,1,1,0,0.0,0.0,,0.0,0.0,0,0
brandperf-2026-04-01-мск-axel-другие,2026-04-01,2026-04,МСК,Axel,avtoshkola-axel.ru,Другие,1,0,0,0.0,0.0,,0.0,0,0,0
brandperf-2026-04-01-мск-mclaren-другие,2026-04-01,2026-04,МСК,McLaren,autoshkola-mclaren.ru,Другие,2,0,0,0.0,0.0,,0.0,0,0,0
brandperf-2026-04-01-мск-schoolselect-seo,2026-04-01,2026-04,МСК,SchoolSelect,schoolselect.ru,SEO,1,0,0,0.0,0.0,,0.0,0,0,0
brandperf-2026-04-01-мск-schoolselect-другие,2026-04-01,2026-04,МСК,SchoolSelect,schoolselect.ru,Другие,2,0,0,0.0,0.0,,0.0,0,0,0
brandperf-2026-04-01-мск-schoolselect-прямые-визиты,2026-04-01,2026-04,МСК,SchoolSelect,schoolselect.ru,Прямые визиты,2,0,1,36990.0,0.0,,0.0,0,0.0,36990.0
brandperf-2026-04-01-мск-triumf-другие,2026-04-01,2026-04,МСК,Triumf,autoshkola-triumf.ru,Другие,1,0,0,0.0,0.0,,0.0,0,0,0
brandperf-2026-04-01-мск-автогуру-другие,2026-04-01,2026-04,МСК,АвтоГуру,autoshkola-guru.ru,Другие,1,0,0,0.0,0.0,,0.0,0,0,0
brandperf-2026-04-01-мск-автогуру-яндекс-карты,2026-04-01,2026-04,МСК,АвтоГуру,autoshkola-guru.ru,Яндекс Карты,1,1,1,37990.0,0.0,,0.0,0.0,0.0,37990.0
brandperf-2026-04-01-мск-автодраи-в-2гис,2026-04-01,2026-04,МСК,АвтоДрайв,autodrive.msk.ru · автодраи-в,2ГИС,6,2,0,0.0,0.0,,0.0,0.0,0,0
